,idx
0,46587
1,46597
2,46598
3,46601
4,56992
5,56993
6,56995
7,62149
8,62162
9,62178
10,62184
11,62195
12,62209
13,62223
14,62237
15,63839
16,65203
17,71964
18,71968
19,71970
20,71971
21,72074
22,72075
23,72076
24,72078
25,72080
26,72081
27,72083
28,72102
29,72103
30,72104
31,72123
32,72144
33,72167
34,72184
35,72186
36,72197
37,72198
38,72199
39,72220
40,72221
41,72222
42,72223
43,72224
44,72227
45,72241
46,72242
47,72260
48,72263
49,72264
50,73141
51,73152
52,73169
53,73211
54,73222
55,73243
56,73248
57,73274
58,73281
59,73286
60,73298
61,73301
62,73372
63,73373
64,73375
65,76298
66,76336
67,76339
68,76439
69,76440
70,76441
71,76443
72,76444
73,76447
74,76448
75,76450
