nf_numero,nf_item,nf_datahora,nf_timestamp,nf_valor_total,emit_nome,emit_cnpj,emit_bairro,emit_municipio,emit_cep,emit_lat,emit_long,prod_desc,prod_ncm,prod_cfop,prod_quant,prod_unid,prod_valor_unit,prod_valor_total,idx
245756,1,2016-12-08 16:49:38,1481215778,13920.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,levofloxacino 5mgml (generico) 100ml(40cx),30049099,6107,2400.0,und,5.8,13920.0,72126
245753,1,2016-12-08 16:49:38,1481215778,11600.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,levofloxacino 5mgml (generico) 100ml(34cx),30049099,6107,2000.0,und,5.8,11600.0,72187
245752,1,2016-12-08 16:49:38,1481215778,5800.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,levofloxacino 5mgml (generico) 100ml(17cx),30049099,6107,1000.0,und,5.8,5800.0,72148
244037,1,2016-11-23 09:43:19,1479894199,4600.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 250 ml(46cx)",30049099,6107,2300.0,und,2.0,4600.0,72216
247536,1,2016-12-29 16:42:03,1483029723,2090.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,glicose 5% sf 250 ml(20cx),30049099,6107,1000.0,und,2.09,2090.0,72176
244284,1,2016-11-25 12:59:19,1480078759,1920.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 250 ml(20cx)",30049099,6107,960.0,und,2.0,1920.0,72173
236404,1,2016-08-19 13:43:52,1471614232,3000.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 250 ml(30cx)",30049099,6107,1500.0,und,2.0,3000.0,72179
245754,1,2016-12-08 16:49:38,1481215778,4640.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,levofloxacino 5mgml (generico) 100ml(14cx),30049099,6107,800.0,und,5.8,4640.0,72168
243484,1,2016-11-17 08:41:24,1479372084,3045.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 250 ml(20cx)",30049099,6107,1000.0,und,2.0,2000.0,72130
241928,2,2016-10-26 11:56:44,1477483004,4090.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,glicose 5% sf 250 ml(20cx),30049099,6107,1000.0,und,2.09,2090.0,72110
