nf_numero,nf_item,nf_datahora,nf_timestamp,nf_valor_total,emit_nome,emit_cnpj,emit_bairro,emit_municipio,emit_cep,emit_lat,emit_long,prod_desc,prod_ncm,prod_cfop,prod_quant,prod_unid,prod_valor_unit,prod_valor_total,idx
101879,1,2016-12-05 16:41:49,1480956109,150.0,antibioticos do brasil ltda,5439635000456,itaipava,itajai,88316000,-26.9046787,-48.6552979,agua para injecao 10 ml (cx 25 ampolas),30049099,6910,40.0,cx,3.75,150.0,76293
386681,1,2016-02-24 00:00:00,1456272000,18171.36,glaxosmithkline brasil ltda,33247743003569,curicica,rio de janeiro,22780083,-22.9110137,-43.2093727,volibris 5 mg x 30 tablets,30049099,6108,24.0,und,1576.71,37841.04,46601
89,399,2016-04-28 00:00:00,1461801600,28935.04,r r comercio de medicamentos ltda,6007901000191,centro,queimadas,58475000,-10.9807081,-39.6249588,dorona gts 10ml med,30049099,5405,150.0,und,1.5,225.0,43037
3,20,2016-02-24 00:00:00,1456272000,3201.29,antonio orlando lopes de lacerda,7758231000108,centro,santa ines,58978000,-13.2897697,-39.8179701,multigrip,30049099,5403,1.0,und,112.0,112.0,74281
14164,1,2016-12-28 11:20:14,1482924014,965.0,prestomedi distr de prod p/saude ltda,10749915000158,linho,erechim,99700000,-27.6350709,-52.2738654,acido tranexamico injetavel 50mg/ml 5ml,30049099,6108,500.0,amp,1.93,965.0,76343
162801,3,2016-05-16 09:45:00,1463391900,220381.8,majela hospitalar ltda ce privado,2483928000108,vila uniao,fortaleza,60410800,-3.7304512,-38.5217989,zytiga 250 mg cx 120 cp or,30049099,6102,24.0,und,7440.0,178560.0,47163
730,3,2016-10-05 06:39:39,1475649579,778.0,itaporanga prod. farma. ltda,41197559000130,centro,itaporanga,58780000,-23.7066252,-49.4895934,estomazil c/1 env abacaxi,30049099,5929,2.0,und,2.44,4.88,56385
730,26,2016-10-05 06:39:39,1475649579,778.0,itaporanga prod. farma. ltda,41197559000130,centro,itaporanga,58780000,-23.7066252,-49.4895934,sonrisal c/2 cpr,30049099,5929,1.0,und,1.64,1.64,56390
45,2,2016-11-05 00:00:00,1478304000,22725.56,juvino fernandes neto - me,13719718000184,centro,santarem,58928000,-2.438489,-54.699611,amitriptilin; cloridrato de 25mg cx 20 comp,30049099,5403,135.0,und,11.6,1566.0,74317
45,12,2016-11-05 00:00:00,1478304000,22725.56,juvino fernandes neto - me,13719718000184,centro,santarem,58928000,-2.438489,-54.699611,fenitoina sodica 50mg sol inj 50 amp x 5ml,30049099,5403,10.0,und,94.01,940.1,74318
45,15,2016-11-05 00:00:00,1478304000,22725.56,juvino fernandes neto - me,13719718000184,centro,santarem,58928000,-2.438489,-54.699611,bromazepam 6mg cx 20 comp,30049099,5403,101.0,und,14.53,1467.53,74319
47,2,2016-11-05 00:00:00,1478304000,9053.1,juvino fernandes neto - me,13719718000184,centro,santarem,58928000,-2.438489,-54.699611,amitriptilin; cloridrato de 25mg cx 20 comp,30049099,5403,68.0,und,11.6,788.8,74322
47,12,2016-11-05 00:00:00,1478304000,9053.1,juvino fernandes neto - me,13719718000184,centro,santarem,58928000,-2.438489,-54.699611,fenitoina sodica 50mg sol inj 50 amp x 5ml,30049099,5403,2.0,und,94.01,188.02,74323
47,15,2016-11-05 00:00:00,1478304000,9053.1,juvino fernandes neto - me,13719718000184,centro,santarem,58928000,-2.438489,-54.699611,bromazepam 6mg cx 20 comp,30049099,5403,50.0,und,14.53,726.5,74324
48,2,2016-11-05 00:00:00,1478304000,9997.36,juvino fernandes neto - me,13719718000184,centro,santarem,58928000,-2.438489,-54.699611,amitriptilin; cloridrato de 25mg cx 20 comp,30049099,5403,70.0,und,11.6,812.0,74326
48,12,2016-11-05 00:00:00,1478304000,9997.36,juvino fernandes neto - me,13719718000184,centro,santarem,58928000,-2.438489,-54.699611,fenitoina sodica 50mg sol inj 50 amp x 5ml,30049099,5403,3.0,und,94.01,282.03,74327
48,15,2016-11-05 00:00:00,1478304000,9997.36,juvino fernandes neto - me,13719718000184,centro,santarem,58928000,-2.438489,-54.699611,bromazepam 6mg cx 20 comp,30049099,5403,50.0,und,14.53,726.5,74328
12400,5,2016-03-01 14:16:55,1456841815,75547.5,drogaria drogavista ltda,958548000220,centro,campina grande,58400090,-7.2246743,-35.8771292,acido folico 5mg 20cp natulab,30049099,5403,40000.0,und,8.26,330400.0,19558
12400,36,2016-03-01 14:16:55,1456841815,75547.5,drogaria drogavista ltda,958548000220,centro,campina grande,58400090,-7.2246743,-35.8771292,dimeticona 40mg c/600cp prati hosp,30049099,5403,2000.0,und,308.46,616920.0,19564
27280,44,2016-02-03 15:02:48,1454511768,45977.66,f. wilton c. monteiro,7055280000184,aeroporto ii,mossoro,59607240,-5.1904332,-37.3443872,lacton 5mg laxante c/100cpr.,30049099,6917,2.0,cx,20.0,40.0,72812
1,2,2016-12-12 10:08:00,1481537280,7771.22,alves lima e cia ltda. me,7314288000118,centro,mato grosso,58832000,-12.2115009,-55.5716547,annita fr 45 ml,30049099,5403,4.0,und,32.02,128.08,57455
12400,49,2016-03-01 14:16:55,1456841815,75547.5,drogaria drogavista ltda,958548000220,centro,campina grande,58400090,-7.2246743,-35.8771292,loratadina 10mg 12cp biosint,30049099,5403,8000.0,und,29.39,235120.0,19567
1,10,2016-12-12 10:08:00,1481537280,7771.22,alves lima e cia ltda. me,7314288000118,centro,mato grosso,58832000,-12.2115009,-55.5716547,clenil composit hfa spray,30049099,5403,2.0,und,44.18,88.36,57457
12400,56,2016-03-01 14:16:55,1456841815,75547.5,drogaria drogavista ltda,958548000220,centro,campina grande,58400090,-7.2246743,-35.8771292,nimesulida 100mg 12cp  ems,30049099,5403,15000.0,und,22.35,335250.0,19569
63,274,2016-03-02 00:00:00,1456876800,39495.06,r r comercio de medicamentos ltda,6007901000191,centro,queimadas,58475000,-10.9807081,-39.6249588,diosmin 30cp*,30049099,5405,51.0,und,46.26,2359.26,43635
1,15,2016-12-12 10:08:00,1481537280,7771.22,alves lima e cia ltda. me,7314288000118,centro,mato grosso,58832000,-12.2115009,-55.5716547,novoprazol 20 mg c/ 56 comp,30049099,5403,100.0,und,18.0,1800.0,57460
57592,1,2016-09-30 09:13:00,1475226780,419650.0,exata distribuidora hospitalar ltda,5008240000156,iputinga,recife,50670280,-8.0584933,-34.8848193,alenia 12/400mcg poinal c/60 c/60 cp+inal (biosintetica farmaceutica),30049099,6102,6188.0,cx,19.0,117572.0,46196
1,18,2016-12-12 10:08:00,1481537280,7771.22,alves lima e cia ltda. me,7314288000118,centro,mato grosso,58832000,-12.2115009,-55.5716547,reconter 20 mg,30049099,5403,2.0,und,154.88,309.76,57462
54134,4,2016-04-27 00:00:00,1461715200,21906.68,larmed distrib. de medic. e mat. med. hosp. ltda,10831701000126,tambor,campina grande,58414500,-7.2246743,-35.8771292,omeprazol 20mg cpr,30049099,5403,246830.0,cpr,0.04,9873.2,22647
57592,3,2016-09-30 09:13:00,1475226780,419650.0,exata distribuidora hospitalar ltda,5008240000156,iputinga,recife,50670280,-8.0584933,-34.8848193,alenia 12/400mcg poinal c/60 c/60 cp+inal (biosintetica farmaceutica),30049099,6102,4363.0,cx,19.0,82897.0,46198
57592,2,2016-09-30 09:13:00,1475226780,419650.0,exata distribuidora hospitalar ltda,5008240000156,iputinga,recife,50670280,-8.0584933,-34.8848193,alenia 12/400mcg poinal c/60 c/60 cp+inal (biosintetica farmaceutica),30049099,6102,6049.0,cx,19.0,114931.0,46197
75928,22,2016-03-28 10:28:50,1459160930,7222.2,dental med sul artigos odontologicos ltda,2477571000147,boqueirao,curitiba,81730010,-25.4295963,-49.2712724,anestesico topico gel com benzocaina 20% 12g tutti frutti,30049099,6404,30.0,und,5.3,159.0,72320
163580,2,2016-05-31 19:47:00,1464724020,155559.6,majela hospitalar ltda ce privado,2483928000108,vila uniao,fortaleza,60410800,-3.7304512,-38.5217989,osteotrat 35 mg com rev ct bl al inc x4,30049099,6102,15000.0,und,9.96,149400.0,46732
95084,3,2016-07-21 10:44:31,1469097871,7862.08,panorama com. de produtos medicos e farmaceutico ltda,1722296000117,bom futuro,fortaleza,60410330,-3.7304512,-38.5217989,baclofeno 10mg comp-marca: teuto,30049099,6102,46260.0,comp,0.11,5088.6,47250
53105,19,2016-03-17 00:00:00,1458172800,101675.5,larmed distrib. de medic. e mat. med. hosp. ltda,10831701000126,tambor,campina grande,58414500,-7.2246743,-35.8771292,omeprazol 20mg cpr,30049099,5949,300000.0,cpr,0.04,12000.0,7316
53891,10,2016-04-14 00:00:00,1460592000,101675.5,larmed distrib. de medic. e mat. med. hosp. ltda,10831701000126,tambor,campina grande,58414500,-7.2246743,-35.8771292,omeprazol 20mg,30049099,5403,300000.0,cpr,0.04,12000.0,7320
111268,3,2016-12-05 14:46:00,1480949160,8723.0,industria farmaceutica rioquimica ltda,55643555000305,vila maceno,s.j. rio preto,15060035,-20.7721899,-49.3607544,riogel ant. 740g refil/ cartucho cx c/ 06 unid,30049099,6101,4.0,und,6.71,26.84,76453
